Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range,Quartile Number,Suppression Flag
Public Health Insurance Coverage,By State,Oregon,Oregon,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,24.8,21.4,28.5,21.4 - 28.5,24.4-36.6,4,
Public Health Insurance Coverage,By State,Pennsylvania,Pennsylvania,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,19.8,16.9,23.0,16.9 - 23.0,18.7-21.5,2,
Public Health Insurance Coverage,By State,Rhode Island,Rhode Island,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,25.1,19.5,31.3,19.5 - 31.3,24.4-36.6,4,
Public Health Insurance Coverage,By State,South Carolina,South Carolina,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,25.2,19.7,31.2,19.7 - 31.2,24.4-36.6,4,
Public Health Insurance Coverage,By State,South Dakota,South Dakota,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,18.6,14.7,23.1,14.7 - 23.1,10.5-18.6,1,
Public Health Insurance Coverage,By State,Tennessee,Tennessee,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,19.8,15.9,24.1,15.9 - 24.1,18.7-21.5,2,
Public Health Insurance Coverage,By State,Texas,Texas,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,15.2,12.4,18.4,12.4 - 18.4,10.5-18.6,1,
Public Health Insurance Coverage,By State,Utah,Utah,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,10.5,8.5,12.8,8.5 - 12.8,10.5-18.6,1,
Public Health Insurance Coverage,By State,Vermont,Vermont,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,27.1,21.3,33.6,21.3 - 33.6,24.4-36.6,4,
Public Health Insurance Coverage,By State,Virginia,Virginia,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,21.5,18.6,24.7,18.6 - 24.7,18.7-21.5,2,
Public Health Insurance Coverage,By State,Washington,Washington,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,21.2,18.7,23.9,18.7 - 23.9,18.7-21.5,2,
Public Health Insurance Coverage,By State,West Virginia,West Virginia,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,31.6,24.5,39.3,24.5 - 39.3,24.4-36.6,4,
Public Health Insurance Coverage,By State,Wisconsin,Wisconsin,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,19.3,16.2,22.8,16.2 - 22.8,18.7-21.5,2,
Public Health Insurance Coverage,By State,Wyoming,Wyoming,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,14.5,11.2,18.2,11.2 - 18.2,10.5-18.6,1,
Private Health Insurance Coverage,National Estimate,United States,United States,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,76.5,75.6,77.3,75.6 - 77.3,,,
Private Health Insurance Coverage,By Age,United States,18 - 24 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,71.7,67.7,75.4,67.7 - 75.4,,,
Private Health Insurance Coverage,By Age,United States,25 - 34 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,73.3,71.4,75.1,71.4 - 75.1,,,
Private Health Insurance Coverage,By Age,United States,35 - 44 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,76.1,74.7,77.4,74.7 - 77.4,,,
Private Health Insurance Coverage,By Age,United States,45 - 64 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,79.4,78.4,80.4,78.4 - 80.4,,,
Private Health Insurance Coverage,By Sex,United States,Male,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,78.2,76.9,79.4,76.9 - 79.4,,,
Private Health Insurance Coverage,By Sex,United States,Female,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,74.8,73.9,75.8,73.9 - 75.8,,,
Private Health Insurance Coverage,By Race/Hispanic ethnicity,United States,Hispanic or Latino,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,65.8,63.2,68.4,63.2 - 68.4,,,
Private Health Insurance Coverage,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,80.5,79.7,81.3,79.7 - 81.3,,,
Private Health Insurance Coverage,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,70.1,67.5,72.6,67.5 - 72.6,,,
Private Health Insurance Coverage,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,86.1,83.7,88.4,83.7 - 88.4,,,
Private Health Insurance Coverage,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,69.2,65.3,72.9,65.3 - 72.9,,,
Private Health Insurance Coverage,By Education,United States,Less than a high school diploma,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,50.2,45.3,55.2,45.3 - 55.2,,,
Private Health Insurance Coverage,By Education,United States,High school diploma or GED,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,66.5,64.4,68.6,64.4 - 68.6,,,
Private Health Insurance Coverage,By Education,United States,Some college/Associate's degree,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,76.2,75.3,77.1,75.3 - 77.1,,,
Private Health Insurance Coverage,By Education,United States,Bachelor's degree or higher,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,91.0,90.4,91.6,90.4 - 91.6,,,
Private Health Insurance Coverage,By State,Alabama,Alabama,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,80.4,74.6,85.3,74.6 - 85.3,78.3-81.3,3,
Private Health Insurance Coverage,By State,Alaska,Alaska,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,71.4,67.4,75.2,67.4 - 75.2,66.2-73.6,1,
Private Health Insurance Coverage,By State,Arizona,Arizona,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,74.1,70.3,77.7,70.3 - 77.7,73.7-78.2,2,
Private Health Insurance Coverage,By State,Arkansas,Arkansas,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,69.1,63.8,74.1,63.8 - 74.1,66.2-73.6,1,
Private Health Insurance Coverage,By State,California,California,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,74.1,70.4,77.6,70.4 - 77.6,73.7-78.2,2,
Private Health Insurance Coverage,By State,Colorado,Colorado,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,79.5,76.3,82.6,76.3 - 82.6,78.3-81.3,3,
Private Health Insurance Coverage,By State,Connecticut,Connecticut,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,81.8,78.0,85.1,78.0 - 85.1,81.4-86.4,4,
Private Health Insurance Coverage,By State,Delaware,Delaware,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,77.2,69.8,83.5,69.8 - 83.5,73.7-78.2,2,
Private Health Insurance Coverage,By State,District of Columbia,District of Columbia,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,78.2,72.2,83.4,72.2 - 83.4,73.7-78.2,2,
Private Health Insurance Coverage,By State,Florida,Florida,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,72.1,68.3,75.8,68.3 - 75.8,66.2-73.6,1,
Private Health Insurance Coverage,By State,Georgia,Georgia,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,72.4,67.8,76.7,67.8 - 76.7,66.2-73.6,1,
Private Health Insurance Coverage,By State,Hawaii,Hawaii,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,86.4,81.5,90.3,81.5 - 90.3,81.4-86.4,4,
Private Health Insurance Coverage,By State,Idaho,Idaho,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,72.1,67.6,76.2,67.6 - 76.2,66.2-73.6,1,
Private Health Insurance Coverage,By State,Illinois,Illinois,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,76.5,72.3,80.4,72.3 - 80.4,73.7-78.2,2,
Private Health Insurance Coverage,By State,Indiana,Indiana,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,78.5,74.6,82.0,74.6 - 82.0,78.3-81.3,3,
Private Health Insurance Coverage,By State,Iowa,Iowa,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,83.1,78.6,86.9,78.6 - 86.9,81.4-86.4,4,
Private Health Insurance Coverage,By State,Kansas,Kansas,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,81.1,76.7,85.0,76.7 - 85.0,78.3-81.3,3,
Private Health Insurance Coverage,By State,Kentucky,Kentucky,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,72.7,67.4,77.4,67.4 - 77.4,66.2-73.6,1,
Private Health Insurance Coverage,By State,Louisiana,Louisiana,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,66.2,61.9,70.3,61.9 - 70.3,66.2-73.6,1,
Private Health Insurance Coverage,By State,Maine,Maine,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,80.5,75.1,85.3,75.1 - 85.3,78.3-81.3,3,
Private Health Insurance Coverage,By State,Maryland,Maryland,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,83.0,79.5,86.1,79.5 - 86.1,81.4-86.4,4,
Private Health Insurance Coverage,By State,Massachusetts,Massachusetts,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,83.1,80.1,85.8,80.1 - 85.8,81.4-86.4,4,
Private Health Insurance Coverage,By State,Michigan,Michigan,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,78.6,74.6,82.3,74.6 - 82.3,78.3-81.3,3,
Private Health Insurance Coverage,By State,Minnesota,Minnesota,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,82.4,79.0,85.5,79.0 - 85.5,81.4-86.4,4,
Private Health Insurance Coverage,By State,Mississippi,Mississippi,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,69.6,63.6,75.2,63.6 - 75.2,66.2-73.6,1,
Private Health Insurance Coverage,By State,Missouri,Missouri,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,75.8,72.8,78.7,72.8 - 78.7,73.7-78.2,2,
Private Health Insurance Coverage,By State,Montana,Montana,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,73.8,67.2,79.7,67.2 - 79.7,73.7-78.2,2,
Private Health Insurance Coverage,By State,Nebraska,Nebraska,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,84.3,79.5,88.3,79.5 - 88.3,81.4-86.4,4,
Private Health Insurance Coverage,By State,Nevada,Nevada,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,71.5,66.9,75.9,66.9 - 75.9,66.2-73.6,1,
Private Health Insurance Coverage,By State,New Hampshire,New Hampshire,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,81.0,76.0,85.4,76.0 - 85.4,78.3-81.3,3,
Private Health Insurance Coverage,By State,New Jersey,New Jersey,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,81.7,78.2,84.9,78.2 - 84.9,81.4-86.4,4,
Private Health Insurance Coverage,By State,New Mexico,New Mexico,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,66.8,61.4,71.8,61.4 - 71.8,66.2-73.6,1,
Private Health Insurance Coverage,By State,New York,New York,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,78.4,74.5,81.9,74.5 - 81.9,78.3-81.3,3,
Private Health Insurance Coverage,By State,North Carolina,North Carolina,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,73.6,68.6,78.2,68.6 - 78.2,66.2-73.6,1,
Private Health Insurance Coverage,By State,North Dakota,North Dakota,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,83.0,77.8,87.4,77.8 - 87.4,81.4-86.4,4,
Private Health Insurance Coverage,By State,Ohio,Ohio,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,75.9,70.3,80.9,70.3 - 80.9,73.7-78.2,2,
Private Health Insurance Coverage,By State,Oklahoma,Oklahoma,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,75.1,70.3,79.5,70.3 - 79.5,73.7-78.2,2,
Private Health Insurance Coverage,By State,Oregon,Oregon,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,73.6,69.9,77.0,69.9 - 77.0,66.2-73.6,1,
Private Health Insurance Coverage,By State,Pennsylvania,Pennsylvania,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,78.7,74.8,82.3,74.8 - 82.3,78.3-81.3,3,
Private Health Insurance Coverage,By State,Rhode Island,Rhode Island,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,78.3,72.9,83.1,72.9 - 83.1,78.3-81.3,3,
Private Health Insurance Coverage,By State,South Carolina,South Carolina,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,76.5,72.0,80.6,72.0 - 80.6,73.7-78.2,2,
Private Health Insurance Coverage,By State,South Dakota,South Dakota,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,84.8,80.8,88.2,80.8 - 88.2,81.4-86.4,4,
Private Health Insurance Coverage,By State,Tennessee,Tennessee,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,78.1,74.2,81.7,74.2 - 81.7,73.7-78.2,2,
Private Health Insurance Coverage,By State,Texas,Texas,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,73.4,69.8,76.8,69.8 - 76.8,66.2-73.6,1,
Private Health Insurance Coverage,By State,Utah,Utah,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,86.1,83.7,88.3,83.7 - 88.3,81.4-86.4,4,
Private Health Insurance Coverage,By State,Vermont,Vermont,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,76.5,68.0,83.6,68.0 - 83.6,73.7-78.2,2,
Private Health Insurance Coverage,By State,Virginia,Virginia,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,81.3,77.4,84.9,77.4 - 84.9,78.3-81.3,3,
Private Health Insurance Coverage,By State,Washington,Washington,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,79.0,76.5,81.3,76.5 - 81.3,78.3-81.3,3,
Private Health Insurance Coverage,By State,West Virginia,West Virginia,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,67.5,60.0,74.4,60.0 - 74.4,66.2-73.6,1,
Private Health Insurance Coverage,By State,Wisconsin,Wisconsin,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,83.0,79.5,86.1,79.5 - 86.1,81.4-86.4,4,
Private Health Insurance Coverage,By State,Wyoming,Wyoming,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,78.8,73.1,83.8,73.1 - 83.8,78.3-81.3,3,
Uninsured at the Time of Interview,National Estimate,United States,United States,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,12.5,11.9,13.1,11.9 - 13.1,,,
Uninsured at the Time of Interview,By Age,United States,18 - 24 years,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,19.4,16.2,22.8,16.2 - 22.8,,,
Uninsured at the Time of Interview,By Age,United States,25 - 34 years,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,15.0,13.7,16.4,13.7 - 16.4,,,
Uninsured at the Time of Interview,By Age,United States,35 - 44 years,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,12.8,11.8,14.0,11.8 - 14.0,,,
Uninsured at the Time of Interview,By Age,United States,45 - 64 years,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,9.6,9.0,10.3,9.0 - 10.3,,,
Uninsured at the Time of Interview,By Sex,United States,Male,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,13.8,12.7,14.9,12.7 - 14.9,,,
Uninsured at the Time of Interview,By Sex,United States,Female,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,11.3,10.4,12.2,10.4 - 12.2,,,
Uninsured at the Time of Interview,By Race/Hispanic ethnicity,United States,Hispanic or Latino,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,23.1,21.1,25.2,21.1 - 25.2,,,
Uninsured at the Time of Interview,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,9.3,8.7,10.0,8.7 - 10.0,,,
Uninsured at the Time of Interview,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,13.8,11.4,16.6,11.4 - 16.6,,,
Uninsured at the Time of Interview,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,8.6,6.7,10.7,6.7 - 10.7,,,
Uninsured at the Time of Interview,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,15.9,12.6,19.7,12.6 - 19.7,,,
Uninsured at the Time of Interview,By Education,United States,Less than a high school diploma,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,29.5,25.4,33.7,25.4 - 33.7,,,
Uninsured at the Time of Interview,By Education,United States,High school diploma or GED,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,18.0,16.4,19.7,16.4 - 19.7,,,
Uninsured at the Time of Interview,By Education,United States,Some college/Associate's degree,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,12.5,11.6,13.3,11.6 - 13.3,,,
Uninsured at the Time of Interview,By Education,United States,Bachelor's degree or higher,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,4.6,4.2,5.0,4.2 - 5.0,,,
Uninsured at the Time of Interview,By State,Alabama,Alabama,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,13.4,10.0,17.4,10.0 - 17.4,10.5-13.5,3,
Uninsured at the Time of Interview,By State,Alaska,Alaska,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,13.3,10.4,16.6,10.4 - 16.6,10.5-13.5,3,
Uninsured at the Time of Interview,By State,Arizona,Arizona,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,16.1,11.1,22.2,11.1 - 22.2,13.6-23.2,4,
Uninsured at the Time of Interview,By State,Arkansas,Arkansas,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,14.7,9.7,21.0,9.7 - 21.0,13.6-23.2,4,
Uninsured at the Time of Interview,By State,California,California,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,10.5,8.3,13.1,8.3 - 13.1,10.5-13.5,3,
Uninsured at the Time of Interview,By State,Colorado,Colorado,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,12.4,9.1,16.4,9.1 - 16.4,10.5-13.5,3,
Uninsured at the Time of Interview,By State,Connecticut,Connecticut,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,7.2,4.9,10.2,4.9 - 10.2,5.2-8.1,1,
Uninsured at the Time of Interview,By State,Delaware,Delaware,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,8.7,4.5,14.9,4.5 - 14.9,8.2-10.4,2,
Uninsured at the Time of Interview,By State,District of Columbia,District of Columbia,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,,,,,Estimate not reliable,-1,1
Uninsured at the Time of Interview,By State,Florida,Florida,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,19.2,15.5,23.3,15.5 - 23.3,13.6-23.2,4,
Uninsured at the Time of Interview,By State,Georgia,Georgia,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,17.3,13.8,21.3,13.8 - 21.3,13.6-23.2,4,
Uninsured at the Time of Interview,By State,Hawaii,Hawaii,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,8.3,5.2,12.5,5.2 - 12.5,8.2-10.4,2,
Uninsured at the Time of Interview,By State,Idaho,Idaho,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,8.7,6.1,11.9,6.1 - 11.9,8.2-10.4,2,
Uninsured at the Time of Interview,By State,Illinois,Illinois,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,9.6,6.8,13.0,6.8 - 13.0,8.2-10.4,2,
Uninsured at the Time of Interview,By State,Indiana,Indiana,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,12.6,9.2,16.7,9.2 - 16.7,10.5-13.5,3,
Uninsured at the Time of Interview,By State,Iowa,Iowa,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,6.6,4.0,10.2,4.0 - 10.2,5.2-8.1,1,
Uninsured at the Time of Interview,By State,Kansas,Kansas,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,13.8,10.2,18.2,10.2 - 18.2,13.6-23.2,4,
Uninsured at the Time of Interview,By State,Kentucky,Kentucky,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,9.2,5.9,13.4,5.9 - 13.4,8.2-10.4,2,
Uninsured at the Time of Interview,By State,Louisiana,Louisiana,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,19.0,14.3,24.5,14.3 - 24.5,13.6-23.2,4,
Uninsured at the Time of Interview,By State,Maine,Maine,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,8.1,4.6,12.9,4.6 - 12.9,5.2-8.1,1,
Uninsured at the Time of Interview,By State,Maryland,Maryland,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,6.3,4.5,8.4,4.5 - 8.4,5.2-8.1,1,
Uninsured at the Time of Interview,By State,Massachusetts,Massachusetts,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,6.9,4.3,10.5,4.3 - 10.5,5.2-8.1,1,
Uninsured at the Time of Interview,By State,Michigan,Michigan,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,7.4,5.1,10.3,5.1 - 10.3,5.2-8.1,1,
Uninsured at the Time of Interview,By State,Minnesota,Minnesota,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,9.2,6.5,12.4,6.5 - 12.4,8.2-10.4,2,
Uninsured at the Time of Interview,By State,Mississippi,Mississippi,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,16.3,12.0,21.3,12.0 - 21.3,13.6-23.2,4,
Uninsured at the Time of Interview,By State,Missouri,Missouri,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,14.7,11.1,18.9,11.1 - 18.9,13.6-23.2,4,
Uninsured at the Time of Interview,By State,Montana,Montana,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,12.8,8.5,18.2,8.5 - 18.2,10.5-13.5,3,
Uninsured at the Time of Interview,By State,Nebraska,Nebraska,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,9.9,7.9,12.4,7.9 - 12.4,8.2-10.4,2,
Uninsured at the Time of Interview,By State,Nevada,Nevada,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,12.5,9.2,16.6,9.2 - 16.6,10.5-13.5,3,
Uninsured at the Time of Interview,By State,New Hampshire,New Hampshire,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,5.9,3.9,8.5,3.9 - 8.5,5.2-8.1,1,
Uninsured at the Time of Interview,By State,New Jersey,New Jersey,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,12.6,9.5,16.4,9.5 - 16.4,10.5-13.5,3,
Uninsured at the Time of Interview,By State,New Mexico,New Mexico,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,10.2,6.6,14.7,6.6 - 14.7,8.2-10.4,2,
Uninsured at the Time of Interview,By State,New York,New York,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,11.2,8.2,14.8,8.2 - 14.8,10.5-13.5,3,
Uninsured at the Time of Interview,By State,North Carolina,North Carolina,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,13.5,9.7,18.0,9.7 - 18.0,10.5-13.5,3,
Uninsured at the Time of Interview,By State,North Dakota,North Dakota,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,7.6,5.3,10.4,5.3 - 10.4,5.2-8.1,1,
Uninsured at the Time of Interview,By State,Ohio,Ohio,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,9.8,6.0,14.9,6.0 - 14.9,8.2-10.4,2,
Uninsured at the Time of Interview,By State,Oklahoma,Oklahoma,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,18.7,14.5,23.5,14.5 - 23.5,13.6-23.2,4,
Uninsured at the Time of Interview,By State,Oregon,Oregon,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,8.6,5.8,12.3,5.8 - 12.3,8.2-10.4,2,
Uninsured at the Time of Interview,By State,Pennsylvania,Pennsylvania,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,5.3,3.1,8.4,3.1 - 8.4,5.2-8.1,1,
Uninsured at the Time of Interview,By State,Rhode Island,Rhode Island,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,5.2,3.1,8.2,3.1 - 8.2,5.2-8.1,1,
Uninsured at the Time of Interview,By State,South Carolina,South Carolina,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,13.1,9.6,17.4,9.6 - 17.4,10.5-13.5,3,
Uninsured at the Time of Interview,By State,South Dakota,South Dakota,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,15.5,10.6,21.6,10.6 - 21.6,13.6-23.2,4,
Uninsured at the Time of Interview,By State,Tennessee,Tennessee,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,12.5,9.2,16.4,9.2 - 16.4,10.5-13.5,3,
Uninsured at the Time of Interview,By State,Texas,Texas,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,23.2,20.2,26.5,20.2 - 26.5,13.6-23.2,4,
Uninsured at the Time of Interview,By State,Utah,Utah,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,12.5,9.5,16.1,9.5 - 16.1,10.5-13.5,3,
Uninsured at the Time of Interview,By State,Vermont,Vermont,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,5.6,3.2,9.0,3.2 - 9.0,5.2-8.1,1,
Uninsured at the Time of Interview,By State,Virginia,Virginia,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,9.9,7.2,13.2,7.2 - 13.2,8.2-10.4,2,
Uninsured at the Time of Interview,By State,Washington,Washington,2,17,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,7.3,5.7,9.3,5.7 - 9.3,5.2-8.1,1,
